Year,Name,G,PTS,TRB,AST,FG%,3P%,FT%,WS,WS/48,Position,isHoF,playedABA,startYear,endYear,yearsPlayed,numAllStar,numTeams,numChampionships,numFinalsMVP,numMVP,isROY,numDPOY,numAllNBA,numAllDef,numPTSLeader,numREBLeader,numASTLeader,totalPTS,totalREB,totalAST,isCollegeChampion,isCollegeAllAmerican,peakWS,numPlayoffApp,numFinalApp,numConfFinalsApp,numOlympicApp,isOlympicGold
,Antawn Jamison,1083,18.5,7.5,1.6,0.451,0.346,0.724,87.8,0.112,SF,0,0,1998,2014,16,2,6,0,0,0,0,0,0,0,0,0,0,20042,8157,1761,0,1,9.2,7,0,0,0,0
,Michael Finley,1103,15.7,4.4,2.9,0.444,0.375,0.811,85.2,0.108,SG,0,0,1995,2010,15,2,4,1,0,0,0,0,0,0,0,0,0,17306,4804,3245,0,0,8.5,10,2,4,0,0
,Chris Webber,831,20.7,9.8,4.2,0.479,0.299,0.649,84.7,0.132,C,0,0,1993,2008,15,5,5,0,0,0,1,0,5,0,0,1,0,17182,8124,3526,0,1,11,10,0,2,0,0
,Marcus Camby,973,9.5,9.8,1.9,0.466,0.205,0.67,81.6,0.137,C,0,0,1996,2013,17,0,6,0,0,0,0,1,0,4,0,0,0,9262,9513,1837,0,1,10.3,11,1,2,0,0
,Kevin Willis,1424,12.1,8.4,0.9,0.487,0.211,0.713,81.8,0.102,C,0,0,1984,2007,21,1,8,1,0,0,0,0,1,0,0,0,0,17253,11901,1328,0,0,10.2,11,1,2,0,0
,Bob Dandridge,839,18.5,6.8,3.4,0.484,0.167,0.78,80.3,0.131,SF,0,0,1969,1982,13,4,2,2,0,0,0,NA,1,1,0,0,0,15530,5715,2846,0,0,9.5,8,4,6,0,0
,Marques Johnson,691,20.1,7,3.6,0.518,0.152,0.739,79.8,0.162,SF,0,0,1977,1990,11,5,3,0,0,0,0,NA,3,0,0,0,0,13892,4817,2502,1,1,12.2,6,0,2,0,0
,Brad Miller,868,11.2,7.1,2.8,0.48,0.33,0.804,76.5,0.15,PF,0,0,1998,2012,14,2,6,0,0,0,0,0,0,0,0,0,0,9724,6199,2470,0,0,10,8,0,0,0,0
,Rolando Blackman,980,18,3.3,3,0.493,0.343,0.84,75.6,0.113,SG,0,0,1981,1994,13,4,2,0,0,0,0,NA,0,0,0,0,0,17623,3278,2981,0,1,9.8,8,1,3,0,0
,Kiki Vandeweghe,810,19.7,3.4,2.1,0.525,0.368,0.872,75.6,0.148,PF,0,0,1980,1993,13,2,4,0,0,0,0,NA,0,0,0,0,0,15980,2785,1668,0,0,11,12,0,0,0,0
